#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-08-12T10:22:27 [V7.5.8]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-08-12T10:22:27	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/ApJS/219/4&-out=Name,_RA,_DE,n,Re,q&-out.max=unlimited&-sort=Name	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.8	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_22190004
#Name: J/ApJS/219/4
#Title: S4G pipeline 4: multi-component decompositions (Salo+, 2015)
#INFO	ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/219/4	    IVOID of underlying data collection
#INFO	creator=Salo H.	    First author or institution
#INFO	cites=bibcode:2015ApJS..219....4S	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2015	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/219/4	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.22190004	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-06-28	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_ApJS_219_4_galaxies:
#Name: J/ApJS/219/4/galaxies
#Title: Parameters of the galaxies;  center, outer orientation, sky background; and 1-component Sersic fits
#Column	Name	(a10)	Galaxy name (IDE)	[ucd=meta.id;meta.main]
#Column	_RA	(F9.5)	Right Ascension (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.ra;meta.main]
#Column	_DE	(F9.5)	Declination (J2000) from SIMBAD (not part of the original data)	[ucd=pos.eq.dec;meta.main]
#Column	n	(F6.3)	[0.3/19]? Sersic index	[ucd=stat.fit.param]
#Column	Re	(F7.2)	[5/7631]? Effective radius	[ucd=phys.angSize]
#Column	q	(F6.3)	[0.07/1]? Axial ratio	[ucd=phys.size.axisRatio]
Name	_RA	_DE	n	Re	q
ESO508-007	196.77958	-24.11194	 1.693	  32.60	 0.543
ESO508-011	196.93667	-22.85667	 0.940	  44.57	 0.155
ESO508-015	197.32792	-24.38528	 0.423	  25.68	 0.607
ESO508-019	197.46162	-24.24188	 1.093	  29.61	 0.280
ESO508-024	197.69140	-23.86573	 3.756	  98.74	 0.635
ESO508-030	198.72792	-23.14583	 0.835	  44.38	 0.256
ESO508-034	199.23883	-25.33708	 1.555	  18.75	 0.573
ESO508-051	200.12417	-26.08528	 1.120	  27.28	 0.554
ESO509-026	202.10258	-27.57031	 5.899	  10.46	 0.900
ESO509-074	203.92236	-24.07384	 2.132	  25.64	 0.218
ESO510-026	209.39729	-25.79178	 1.737	  45.63	 0.878
ESO510-058	211.15575	-24.83315	 1.545	  18.81	 0.655
ESO510-059	211.19310	-24.82704	 4.192	 101.77	 0.569
ESO532-014	330.73771	-22.47233	 1.228	  21.60	 0.467
ESO532-022	332.29583	-27.16750	 1.390	  26.23	 0.883
ESO532-032	333.22000	-25.64306	 0.738	  27.60	 0.147
ESO533-004	333.51257	-26.93771	 0.918	  27.01	 0.093
ESO533-028	336.66403	-24.87156	 1.211	  13.01	 0.495
ESO536-003	350.56723	-23.70079	 1.527	  11.88	 0.137
ESO539-007	004.70133	-19.00772	      	       	
ESO540-016	010.56123	-18.16180	 1.484	  41.22	 0.147
ESO540-031	012.45542	-21.01611	      	       	
ESO541-004	014.74168	-18.74266	 1.147	  43.64	 0.454
ESO541-005	014.82546	-20.57897	 1.551	  22.46	 0.565
ESO544-027	033.22768	-19.31692	 0.854	  14.09	 0.119
ESO544-030	033.73721	-20.21161	 0.788	  27.06	 0.727
ESO545-002	034.81125	-18.93222	 0.753	  31.50	 0.446
ESO545-003	034.87230	-21.43559	 0.970	  16.68	 0.173
ESO545-005	035.02543	-19.75071	 3.343	  28.58	 0.270
ESO545-016	036.49937	-21.42161	 1.309	  37.39	 0.769
ESO546-034	044.65546	-18.69889	 0.516	  23.81	 0.362
ESO547-005	045.89579	-18.36631	 0.720	  21.65	 0.668
ESO547-012	047.40362	-17.83139	 0.927	  16.36	 0.166
ESO547-020	048.23975	-17.92944	 1.102	  30.61	 0.765
ESO548-005	050.94687	-19.75283	 1.001	  28.48	 0.810
ESO548-009	051.15917	-19.29806	11.916	2573.47	 0.162
ESO548-016	051.51008	-21.34058	 1.152	  14.43	 0.492
ESO548-021	051.89820	-21.22826	 0.968	  35.51	 0.162
ESO548-023	052.06046	-17.41979	 3.624	  11.98	 0.473
ESO548-025	052.25287	-22.14658	 1.541	  20.44	 0.823
ESO548-032	053.07987	-17.71794	 1.127	  34.15	 0.503
ESO548-063	054.89499	-20.01480	 0.928	  16.55	 0.184
ESO548-082	055.68033	-17.50722	 0.953	  19.46	 0.584
ESO549-002	055.73892	-19.02011	 1.423	  23.85	 0.600
ESO549-018	057.05867	-21.47449	 0.694	  40.25	 0.603
ESO549-035	058.76646	-20.38350	 1.303	  15.74	 0.699
ESO550-005	061.49979	-17.77436	 0.917	  36.76	 0.280
ESO550-024	065.30680	-21.84613	 1.285	  69.10	 0.399
ESO551-016	068.91871	-21.98844	 0.868	  28.76	 0.255
ESO551-031	070.62046	-21.69169	 0.822	  21.95	 0.333
ESO553-017	077.79792	-19.61306	 0.811	  17.93	 0.243
ESO567-048	154.92375	-17.74972	 1.651	  46.80	 0.280
ESO569-014	162.84708	-19.88778	 1.477	  49.20	 0.156
ESO570-019	170.05052	-21.47063	 1.968	  12.51	 0.624
ESO572-012	178.48792	-20.13788	 2.350	  45.09	 0.288
ESO572-018	178.96080	-18.19653	 1.093	  20.20	 0.552
ESO572-022	179.09373	-19.55207	 1.218	  18.34	 0.314
ESO572-024	179.24822	-19.98677	 5.343	 341.26	 0.303
ESO572-030	179.60583	-22.44000	 1.126	  58.10	 0.536
ESO572-034	179.74214	-19.02991	 0.560	  13.53	 0.620
ESO572-049	180.85195	-19.52271	 1.229	  23.44	 0.256
ESO573-003	183.22917	-20.41972	      	       	
ESO575-061	197.06500	-21.00222	 1.490	  34.16	 0.156
ESO576-001	197.59905	-21.68409	 2.237	  13.51	 0.607
ESO576-003	197.64885	-21.74822	 1.853	  28.87	 0.480
ESO576-005	197.82500	-19.82889	 1.069	  23.79	 0.230
ESO576-008	198.07877	-19.44605	 0.901	  12.03	 0.258
ESO576-011	198.27129	-19.97691	 1.347	  27.91	 0.172
ESO576-017	198.80325	-17.96685	 1.206	  25.82	 0.944
ESO576-026	199.64465	-21.29978	 1.065	  29.31	 0.153
ESO576-032	199.96665	-22.27881	 1.029	  35.86	 0.669
ESO576-040	200.18227	-22.05109	 2.587	  35.15	 0.227
ESO576-050	201.17416	-19.69595	 1.659	  47.65	 0.664
ESO576-059	201.64833	-22.23750	 1.023	  46.75	 0.542
ESO577-038	207.10667	-18.87222	 2.261	  29.68	 0.140
ESO580-022	221.52083	-18.02278	 1.268	  34.98	 0.651
ESO580-029	221.89026	-19.76411	 0.916	  24.23	 0.154
ESO580-030	221.89766	-18.07049	 1.030	  22.27	 0.799
ESO580-034	221.97645	-19.13159	 1.024	  12.56	 0.206
ESO580-041	222.65189	-18.15116	 1.099	  25.81	 0.209
ESO581-025	228.37889	-20.67509	 1.832	  30.07	 0.181
ESO582-004	230.19151	-18.34886	 1.568	  18.44	 0.457
ESO601-007	330.59004	-21.04075	 1.075	  27.13	 0.279
ESO601-025	332.55183	-18.86522	 1.251	  38.07	 0.364
ESO601-031	333.41375	-21.73472	 0.818	  24.11	 0.491
ESO602-003	334.21375	-21.25000	 1.151	  31.17	 0.223
ESO602-015	335.71083	-20.35000	 2.808	  26.07	 0.337
ESO602-030	339.21277	-19.80702	 0.922	  15.27	 0.787
ESO603-031	344.36011	-17.88557	 1.284	  12.49	 0.482
ESO605-015	354.14958	-21.86222	 0.661	  13.60	 0.288
IC0051    	011.60090	-13.44240	 2.117	  11.43	 0.587
IC0101    	021.03560	+09.93056	 1.815	  16.64	 0.537
IC0163    	027.31243	+20.71132	 1.827	  30.17	 0.404
IC0167    	027.78604	+21.91244	 2.844	  37.39	 0.822
IC0210    	032.36761	-09.68004	 1.398	  23.11	 0.176
IC0217    	034.04348	-11.92670	 0.815	  31.02	 0.125
IC0223    	035.50346	-20.74522	 1.342	  14.07	 0.473
IC0335    	053.87929	-34.44710	 1.663	  24.93	 0.136
IC0529    	139.63661	+73.75932	 1.620	  46.32	 0.467
IC0600    	154.29525	-03.49833	 1.708	  25.76	 0.660
IC0610    	156.61818	+20.22825	 1.194	  20.98	 0.092
IC0718    	174.97075	+08.87472	 0.961	  20.00	 0.486
IC0719    	175.07704	+09.00986	 1.481	  12.19	 0.264
IC0749    	179.64160	+42.73409	 0.681	  35.11	 0.743
IC0750    	179.71760	+42.72240	 1.593	  15.37	 0.341
IC0755    	180.29326	+14.10451	 1.683	  17.29	 0.184
IC0758    	181.04957	+62.50545	 1.610	  34.99	 0.749
IC0764    	182.55913	-29.73681	 1.678	  50.99	 0.328
IC0769    	183.13467	+12.12373	 1.949	  41.17	 0.557
IC0776    	184.76346	+08.85556	 1.441	  32.09	 0.588
IC0796    	187.35980	+16.40472	 2.013	  15.55	 0.416
IC0797    	187.97813	+15.12392	 1.169	  21.89	 0.687
IC0800    	188.48631	+15.35454	 1.248	  30.53	 0.529
IC0851    	197.14312	+21.04974	 1.015	  15.81	 0.445
IC0863    	199.30164	-17.25451	 2.297	   8.36	 0.780
IC0902    	204.00505	+49.96072	 2.084	  20.05	 0.221
IC1014    	217.07655	+13.78034	 1.405	  36.47	 0.627
IC1024    	217.86342	+03.00911	 1.463	   9.23	 0.291
IC1029    	218.11337	+49.90477	 7.479	  28.21	 0.302
IC1048    	220.74115	+04.89013	 1.284	  26.78	 0.197
IC1055    	221.85709	-13.71612	 0.874	  28.99	 0.338
IC1066    	223.26178	+03.29588	 1.311	  14.63	 0.604
IC1067    	223.27180	+03.33172	 3.724	  30.61	 0.611
IC1125    	233.27341	-01.62826	 1.327	  16.44	 0.580
IC1151    	239.63470	+17.44155	 1.612	  25.51	 0.457
IC1158    	240.39197	+01.70783	 0.953	  37.31	 0.537
IC1197    	242.07205	+07.53855	 0.914	  37.21	 0.125
IC1210    	243.62552	+62.53670	 1.709	   8.88	 0.413
IC1251    	257.55512	+72.41074	 1.124	  19.94	 0.508
IC1265    	264.16440	+42.08838	 3.215	  23.74	 0.368
IC1438    	334.12127	-21.43073	 7.366	  29.63	 0.677
IC1447    	337.49915	-05.11993	 0.914	  21.08	 0.586
IC1532    	002.47292	-64.37139	 1.539	  31.56	 0.297
IC1553    	008.16715	-25.60753	 0.775	  13.81	 0.129
IC1555    	008.63643	-30.01794	 1.631	  18.14	 0.735
IC1558    	008.94371	-25.37222	 1.324	  57.64	 0.634
IC1574    	010.76592	-22.24689	 0.773	  52.43	 0.377
IC1596    	013.67843	+21.52265	 1.336	  14.66	 0.418
IC1613    	016.19917	+02.11778	 0.503	 166.19	 0.733
IC1711    	022.73028	+17.18848	 3.593	  10.87	 0.338
IC1727    	026.87454	+27.33335	 1.079	 100.31	 0.341
IC1826    	039.76477	-27.44311	 1.572	  18.16	 0.722
IC1870    	044.47307	-02.34713	 1.125	  51.82	 0.325
IC1892    	047.11454	-23.05319	 2.507	  46.27	 0.454
IC1898    	047.57946	-22.40602	 1.009	  46.17	 0.132
IC1913    	049.89407	-32.46511	 1.488	  25.94	 0.189
IC1914    	049.85524	-49.59979	 2.141	  63.56	 0.496
