#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-07-29T06:09:35 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-07-29T06:09:35	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=VII%2f155%2frc3&-out=name%2caltname%2cRA2000%2cDE2000%2cT%2cD25%2cR25%2cPA%2cBT%2cAe%2cm%27e&-out.max=unlimited&BT=%3c13.5&-sort=BT	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_7155
#Name: VII/155
#Title: Third Reference Cat. of Bright Galaxies (RC3) (de Vaucouleurs+ 1991)
#INFO	ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/vii/155	    IVOID of underlying data collection
#INFO	creator=de Vaucouleurs G.	    First author or institution
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/VII/155	    Dataset landing page
#INFO	publication_date=2002-08-09	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	B2000:	eq_FK4 B2000
#Table	VII_155_rc3:
#Name: VII/155/rc3
#Title: The revised RC3 catalog
#Column	name	(a12)	Name	[ucd=meta.id]
#Column	altname	(a15)	Alternate name	[ucd=meta.id]
#Column	RA2000	(A10)	Right Ascension 2000 (hours)	[ucd=pos.eq.ra;meta.main]
#Column	DE2000	(A9)	Declination 2000 (degrees)	[ucd=pos.eq.dec;meta.main]
#Column	T	(F4.1)	? T (Hubble stage)	[ucd=src.morph.type]
#Column	D25	(F5.2)	? Log D25	[ucd=phys.angSize;src]
#Column	R25	(F5.2)	? Log R25 (isophotal diameter ratio)	[ucd=phys.size;arith.ratio]
#Column	PA	(I3)	? Position angle of the major axis	[ucd=pos.posAng]
#Column	BT	(F5.2)	? BT (total B magnitude)	[ucd=phot.mag;em.opt.B]
#Column	Ae	(F5.2)	? Log Ae (effective aperture)	[ucd=instr.fov]
#Column	m'e	(F5.2)	? m'e	[ucd=phot.mag.sb]
name	altname	RA2000	DE2000	T	D25	R25	PA	BT	Ae	m'e
IC    342   	 UGC  2847     	03 46 49.7	+68 05 45	 6.0	 2.33	 0.01	   	 9.10	     	
NGC  4258   	 UGC  7353     	12 18 57.9	+47 18 16	 4.0	 2.27	 0.41	150	 9.10	 1.62	12.61
NGC  6744   	 ESO  104- 42  	19 09 45.4	-63 51 22	 4.0	 2.30	 0.19	 15	 9.14	     	
NGC  1313   	 ESO   82- 11  	03 18 15.5	-66 29 51	 7.0	 1.96	 0.12	   	 9.20	 1.45	12.90
NGC  3034   	 UGC  5322     	09 55 54.0	+69 40 57	90.0	 2.05	 0.42	 65	 9.30	 1.45	11.98
NGC  4945   	 ESO  219- 24  	13 05 26.2	-49 28 15	 6.0	 2.30	 0.72	 43	 9.30	     	
NGC  5055   	 UGC  8334     	13 15 49.3	+42 02 06	 4.0	 2.10	 0.24	105	 9.31	 1.54	12.50
NGC  6822   	 MCG -2-50-  6 	19 44 57.9	-14 48 11	10.0	 2.19	 0.06	   	 9.31	     	
NGC  4826   	 UGC  8062     	12 56 44.3	+21 41 05	 2.0	 2.00	 0.27	115	 9.36	 1.39	11.80
NGC  4472   	 UGC  7629     	12 29 46.5	+07 59 58	-5.0	 2.01	 0.09	155	 9.37	 1.54	12.47
NGC  1291   	 ESO  301-  2  	03 17 17.6	-41 06 28	 0.0	 1.99	 0.08	   	 9.39	 1.26	11.63
NGC  1316   	 ESO  357- 22  	03 22 41.6	-37 12 28	-2.0	 2.08	 0.15	 50	 9.42	 1.43	12.03
NGC  4486   	 UGC  7654     	12 30 49.7	+12 23 24	-4.0	 1.92	 0.10	   	 9.59	 1.50	12.61
NGC  1068   	 UGC  2188     	02 42 40.2	-00 00 48	 3.0	 1.85	 0.07	 70	 9.61	 1.09	10.65
NGC  6946   	 UGC 11597     	20 34 52.0	+60 09 15	 6.0	 2.06	 0.07	   	 9.61	 1.78	14.04
NGC  7793   	 ESO  349- 12  	23 57 49.5	-32 35 24	 7.0	 1.97	 0.17	 98	 9.63	 1.65	13.11
NGC  3627   	 UGC  6346     	11 20 15.0	+12 59 29	 3.0	 1.96	 0.34	173	 9.65	 1.35	11.95
NGC   247   	 ESO  540- 22  	00 47 08.7	-20 45 38	 7.0	 2.33	 0.49	174	 9.67	 1.83	14.19
NGC  2903   	 UGC  5079     	09 32 09.7	+21 30 02	 4.0	 2.10	 0.32	 17	 9.68	 1.47	12.42
NGC  4631   	 UGC  7865     	12 42 07.7	+32 32 28	 7.0	 2.19	 0.76	 86	 9.75	 1.62	13.34
NGC  4649   	 UGC  7898     	12 43 40.3	+11 32 58	-5.0	 1.87	 0.09	105	 9.81	 1.36	12.10
NGC  3521   	 UGC  6150     	11 05 48.9	-00 02 15	 4.0	 2.04	 0.33	163	 9.83	 1.26	11.80
NGC  4406   	 UGC  7532     	12 26 11.8	+12 56 49	-5.0	 1.95	 0.19	130	 9.83	 1.54	13.06
NGC  3115   	 MCG -1-26- 18 	10 05 14.1	-07 43 07	-3.0	 1.86	 0.47	 40	 9.87	 1.03	10.77
IC   1613   	 UGC   668     	01 04 48.4	+02 07 10	10.0	 2.21	 0.05	 50	 9.88	 2.11	15.92
NGC   628   	 UGC  1149     	01 36 41.7	+15 47 00	 5.0	 2.02	 0.04	 25	 9.95	 1.68	13.67
NGC  4449   	 UGC  7592     	12 28 11.4	+44 05 40	10.0	 1.79	 0.15	 45	 9.99	 1.21	11.53
NGC  4382   	 UGC  7508     	12 25 24.7	+18 11 27	-1.0	 1.85	 0.11	   	10.00	 1.26	11.86
NGC  4236   	 UGC  7306     	12 16 43.4	+69 27 56	 8.0	 2.34	 0.48	162	10.05	 1.90	15.04
NGC  4321   	 UGC  7450     	12 22 55.2	+15 49 23	 4.0	 1.87	 0.07	 30	10.05	 1.54	13.26
NGC  2997   	 ESO  434- 35  	09 45 39.4	-31 11 28	 5.0	 1.95	 0.12	110	10.06	     	
NGC  2841   	 UGC  4966     	09 22 01.8	+50 58 31	 3.0	 1.91	 0.36	147	10.09	 1.40	12.54
NGC  4374   	 UGC  7494     	12 25 03.7	+12 53 15	-5.0	 1.81	 0.06	135	10.09	 1.23	11.92
NGC   185   	 UGC   396     	00 38 58.0	+48 20 18	-5.0	 2.07	 0.07	 35	10.10	 1.58	13.71
NGC  3368   	 UGC  5882     	10 46 45.2	+11 49 16	 2.0	 1.88	 0.16	  5	10.11	 1.39	12.49
NGC  4725   	 UGC  7989     	12 50 26.9	+25 30 01	 2.0	 2.03	 0.15	 35	10.11	 1.52	13.20
NGC  4697   	 MCG -1-33- 10 	12 48 35.9	-05 48 02	-5.0	 1.86	 0.19	 70	10.14	 1.38	12.46
NGC  4303   	 UGC  7420     	12 21 54.7	+04 28 20	 4.0	 1.81	 0.05	   	10.18	 1.44	12.79
NGC  4490   	 UGC  7651     	12 30 36.7	+41 38 23	 7.0	 1.80	 0.31	125	10.22	 1.26	11.97
NGC  1097   	 ESO  416- 20  	02 46 18.9	-30 16 21	 3.0	 1.97	 0.17	130	10.23	 1.29	12.32
NGC  3379   	 UGC  5902     	10 47 49.9	+12 34 57	-5.0	 1.73	 0.05	   	10.24	 1.07	11.31
NGC  4214   	 UGC  7278     	12 15 39.5	+36 19 39	10.0	 1.93	 0.11	   	10.24	 1.39	12.68
NGC  3623   	 UGC  6328     	11 18 55.3	+13 05 35	 1.0	 1.99	 0.53	174	10.25	 1.45	12.77
NGC  4569   	 UGC  7786     	12 36 50.1	+13 09 48	 2.0	 1.98	 0.34	 23	10.26	 1.52	13.21
NGC  1553   	 ESO  157- 17  	04 16 10.4	-55 46 51	-2.0	 1.65	 0.20	150	10.28	 1.34	12.13
NGC  1672   	 ESO  118- 43  	04 45 42.2	-59 14 57	 3.0	 1.82	 0.08	170	10.28	 1.39	12.75
NGC  3621   	 ESO  377- 37  	11 18 16.8	-32 48 49	 7.0	 2.09	 0.24	159	10.28	 1.34	12.55
NGC  3628   	 UGC  6350     	11 20 16.3	+13 35 22	 3.0	 2.17	 0.70	104	10.28	     	
NGC  1365   	 ESO  358- 17  	03 33 36.6	-36 08 17	 3.0	 2.05	 0.26	 32	10.32	 1.44	12.93
NGC  1566   	 ESO  157- 20  	04 20 00.4	-54 56 18	 4.0	 1.92	 0.10	 60	10.33	 1.34	12.44
NGC  1023   	 UGC  2154     	02 40 24.1	+39 03 46	-3.0	 1.94	 0.47	 87	10.35	 1.12	11.60
NGC  5102   	 ESO  382- 50  	13 21 57.8	-36 37 47	-3.0	 1.94	 0.49	 48	10.35	 0.90	10.81
NGC  7331   	 UGC 12113     	22 37 05.2	+34 25 10	 3.0	 2.02	 0.45	171	10.35	 1.37	12.62
NGC  3184   	 UGC  5557     	10 18 17.3	+41 25 26	 6.0	 1.87	 0.03	135	10.36	 1.59	13.74
NGC  4501   	 UGC  7675     	12 31 59.6	+14 25 17	 3.0	 1.84	 0.27	140	10.36	 1.41	12.67
NGC  3109   	 ESO  499- 36  	10 03 06.7	-26 09 32	 9.0	 2.28	 0.71	 93	10.39	     	
NGC  4699   	 MCG -1-33- 13 	12 49 02.3	-08 39 52	 3.0	 1.58	 0.16	 45	10.41	 1.01	10.95
NGC  4565   	 UGC  7772     	12 36 20.6	+25 59 05	 3.0	 2.20	 0.87	136	10.42	 1.46	13.15
NGC  4636   	 UGC  7878     	12 42 49.8	+02 41 17	-5.0	 1.78	 0.11	150	10.43	 1.47	13.14
NGC  4254   	 UGC  7345     	12 18 49.4	+14 25 07	 5.0	 1.73	 0.06	   	10.44	 1.27	12.27
NGC  3344   	 UGC  5840     	10 43 30.8	+24 55 25	 4.0	 1.85	 0.04	   	10.45	 1.47	13.29
NGC  5195   	 UGC  8494     	13 29 58.7	+47 16 21	90.0	 1.76	 0.10	 79	10.45	 1.28	12.34
NGC  4559   	 UGC  7766     	12 35 57.8	+27 57 36	 6.0	 2.03	 0.39	150	10.46	 1.50	13.31
NGC   147   	 UGC   326     	00 33 11.6	+48 30 28	-5.0	 2.12	 0.23	 25	10.47	 1.71	14.61
NGC  4579   	 UGC  7796     	12 37 44.2	+11 49 11	 3.0	 1.77	 0.10	 95	10.48	 1.31	12.44
Sculptor    	 ESO  351- 30  	01 00 09.4	-33 42 33	    	 2.60	 0.11	110	10.50	     	
NGC  4665   	 UGC  7924     	12 45 06.2	+03 03 26	 0.0	 1.58	 0.08	   	10.50	 1.11	
NGC  5247   	 ESO  577- 14  	13 38 03.6	-17 52 56	 4.0	 1.75	 0.06	 20	10.50	 1.59	13.96
NGC  1232   	 ESO  547- 14  	03 09 45.3	-20 34 52	 5.0	 1.87	 0.06	108	10.52	 1.54	13.71
NGC  4365   	 UGC  7488     	12 24 27.9	+07 19 06	-5.0	 1.84	 0.14	 40	10.52	 1.22	12.31
NGC  3351   	 UGC  5850     	10 43 58.0	+11 42 15	 3.0	 1.87	 0.17	 13	10.53	 1.33	12.68
NGC  1399   	 ESO  358- 45  	03 38 29.0	-35 26 58	-5.0	 1.84	 0.03	   	10.55	 1.13	11.72
NGC  1395   	 ESO  482- 19  	03 38 29.6	-23 01 40	-5.0	 1.77	 0.12	   	10.55	 1.21	12.43
NGC  1398   	 ESO  482- 22  	03 38 51.8	-26 20 11	 2.0	 1.85	 0.12	100	10.57	 1.24	12.30
NGC  4621   	 UGC  7858     	12 42 02.5	+11 38 49	-5.0	 1.73	 0.16	165	10.57	 1.13	11.94
NGC  4535   	 UGC  7727     	12 34 20.3	+08 11 53	 5.0	 1.85	 0.15	  0	10.59	 1.57	13.73
NGC  3992   	 UGC  6937     	11 57 36.2	+53 22 31	 4.0	 1.88	 0.21	 68	10.60	 1.50	13.59
NGC  3077   	 UGC  5398     	10 03 21.1	+68 44 02	90.0	 1.73	 0.08	 45	10.61	 1.30	12.60
NGC  5005   	 UGC  8256     	13 10 56.2	+37 03 29	 4.0	 1.76	 0.32	 65	10.61	 1.16	11.85
NGC  2683   	 UGC  4641     	08 52 41.0	+33 25 03	 3.0	 1.97	 0.63	 44	10.64	 1.27	12.39
NGC  4395   	 UGC  7524     	12 25 49.9	+33 32 46	 9.0	 2.12	 0.08	147	10.64	 1.76	14.93
NGC  1532   	 ESO  359- 27  	04 12 05.5	-32 52 28	 2.7	 2.10	 0.58	 33	10.65	 1.51	13.65
NGC  4125   	 UGC  7118     	12 08 07.2	+65 10 22	-5.0	 1.76	 0.26	 95	10.65	 1.29	12.59
NGC  4526   	 UGC  7718     	12 34 02.9	+07 42 01	-2.0	 1.86	 0.48	113	10.66	 1.17	11.93
NGC  6221   	 ESO  138-  3  	16 52 46.7	-59 12 59	 5.0	 1.55	 0.16	  5	10.66	 1.35	12.90
NGC   925   	 UGC  1913     	02 27 16.8	+33 34 41	 7.0	 2.02	 0.25	102	10.69	 1.74	14.67
NGC  3556   	 UGC  6225     	11 11 31.8	+55 40 15	 6.0	 1.94	 0.59	 80	10.69	 1.52	13.71
NGC  1407   	 ESO  548- 67  	03 40 12.4	-18 34 52	-5.0	 1.66	 0.03	 35	10.70	 1.37	13.08
NGC  1433   	 ESO  249- 14  	03 42 01.3	-47 13 17	 2.0	 1.81	 0.04	   	10.70	 1.40	13.23
NGC  5068   	 ESO  576- 29  	13 18 55.3	-21 02 21	 6.0	 1.86	 0.06	110	10.70	 1.39	13.10
NGC  4494   	 UGC  7662     	12 31 24.3	+25 46 25	-5.0	 1.68	 0.13	   	10.71	 1.21	12.25
NGC  1549   	 ESO  157- 16  	04 15 45.1	-55 35 31	-5.0	 1.69	 0.08	135	10.72	 1.18	12.00
NGC   613   	 ESO  413- 11  	01 34 17.5	-29 24 58	 4.0	 1.74	 0.12	120	10.73	 1.31	12.76
NGC  4552   	 UGC  7760     	12 35 39.9	+12 33 25	-5.0	 1.71	 0.04	   	10.73	 0.99	11.42
NGC  1808   	 ESO  305-  8  	05 07 42.8	-37 30 51	 1.0	 1.81	 0.22	133	10.74	 1.32	12.84
NGC  5643   	 ESO  272- 16  	14 32 41.4	-44 10 24	 5.0	 1.66	 0.06	   	10.74	 1.41	13.32
NGC  5866   	 UGC  9723     	15 06 30.2	+55 45 46	-1.0	 1.67	 0.38	128	10.74	 1.13	11.94
NGC  5033   	 UGC  8307     	13 13 28.0	+36 35 38	 5.0	 2.03	 0.33	170	10.75	 1.44	13.39
IC   2574   	 UGC  5666     	10 28 22.5	+68 24 59	 9.0	 2.12	 0.39	 50	10.80	 1.84	15.49
NGC  3923   	 ESO  440- 17  	11 51 02.1	-28 48 23	-5.0	 1.77	 0.18	 50	10.80	 1.22	12.41
NGC   891   	 UGC  1831     	02 22 33.1	+42 20 48	 3.0	 2.13	 0.73	 22	10.81	 1.65	14.55
NGC  2976   	 UGC  5221     	09 47 15.6	+67 54 50	 5.0	 1.77	 0.34	143	10.82	 1.34	13.01
NGC  3607   	 UGC  6297     	11 16 54.1	+18 03 12	-2.0	 1.69	 0.30	120	10.82	 1.16	12.15
NGC   908   	 ESO  545- 11  	02 23 04.6	-21 14 00	 5.0	 1.78	 0.36	 75	10.83	 1.35	13.07
NGC  4051   	 UGC  7030     	12 03 09.6	+44 31 53	 4.0	 1.72	 0.13	135	10.83	 1.48	13.61
NGC  2768   	 UGC  4821     	09 11 37.7	+60 02 22	-5.0	 1.91	 0.28	 95	10.84	 1.33	13.10
NGC  3953   	 UGC  6870     	11 53 49.5	+52 19 39	 4.0	 1.84	 0.30	 13	10.84	 1.45	13.47
NGC  3384   	 UGC  5911     	10 48 17.2	+12 37 49	-3.0	 1.74	 0.34	 53	10.85	 0.92	11.04
NGC  4753   	 UGC  8009     	12 52 22.8	-01 11 57	90.0	 1.78	 0.33	 80	10.85	 1.18	12.25
NGC  1380   	 ESO  358- 28  	03 36 26.9	-34 58 33	-2.0	 1.68	 0.32	  7	10.87	 1.12	11.95
NGC  1792   	 ESO  305-  6  	05 05 15.1	-37 58 47	 4.0	 1.72	 0.30	137	10.87	     	
NGC  3198   	 UGC  5572     	10 19 54.9	+45 33 09	 5.0	 1.93	 0.41	 35	10.87	 1.49	13.81
NGC  5253   	 ESO  445-  4  	13 39 55.9	-31 38 41	10.0	 1.70	 0.41	 45	10.87	 0.88	10.86
NGC  3585   	 ESO  502- 25  	11 13 16.9	-26 45 20	-5.0	 1.67	 0.26	107	10.88	 1.08	11.77
NGC  4244   	 UGC  7322     	12 17 30.0	+37 48 27	 6.0	 2.22	 0.94	 48	10.88	 1.48	13.77
NGC  4605   	 UGC  7831     	12 40 00.3	+61 36 33	 5.0	 1.76	 0.42	125	10.89	 1.17	12.18
NGC  2280   	 ESO  427-  2  	06 44 48.5	-27 38 20	 6.0	 1.80	 0.31	163	10.90	 1.57	14.19
NGC  3938   	 UGC  6856     	11 52 49.8	+44 07 26	 5.0	 1.73	 0.04	   	10.90	 1.38	13.22
NGC  4450   	 UGC  7594     	12 28 29.4	+17 05 05	 2.0	 1.72	 0.13	175	10.90	 1.31	12.90
NGC  3726   	 UGC  6537     	11 33 20.9	+47 01 39	 5.0	 1.79	 0.16	 10	10.91	     	
NGC  6503   	 UGC 11012     	17 49 27.7	+70 08 41	 6.0	 1.85	 0.47	123	10.91	 1.15	12.19
NGC  4192   	 UGC  7231     	12 13 48.2	+14 53 43	 2.0	 1.99	 0.55	155	10.95	 1.50	13.78
NGC  2655   	 UGC  4637     	08 55 38.7	+78 13 28	 0.0	 1.69	 0.08	   	10.96	 1.11	12.00
NGC  4414   	 UGC  7539     	12 26 27.5	+31 13 29	 5.0	 1.56	 0.25	155	10.96	 0.96	11.25
NGC  4548   	 UGC  7753     	12 35 26.3	+14 29 49	 3.0	 1.73	 0.10	150	10.96	 1.41	13.39
NGC  4656   	 UGC  7907     	12 43 58.0	+32 10 18	 9.0	 2.18	 0.71	 33	10.96	 1.51	13.86
NGC  7424   	 ESO  346- 19  	22 57 18.0	-41 04 09	 6.0	 1.98	 0.07	   	10.96	 1.64	14.51
NGC  1404   	 ESO  358- 46  	03 38 51.7	-35 35 36	-5.0	 1.52	 0.05	   	10.97	 0.90	10.96
NGC  5248   	 UGC  8616     	13 37 31.9	+08 53 08	 4.0	 1.79	 0.14	110	10.97	 1.25	12.71
IC   1459   	 ESO  406- 30  	22 57 10.5	-36 27 45	-5.0	 1.72	 0.14	 40	10.97	 1.06	11.76
NGC  6300   	 ESO  101- 25  	17 16 59.3	-62 49 11	 3.0	 1.65	 0.18	118	10.98	 1.34	13.05
NGC  4216   	 UGC  7284     	12 15 53.1	+13 08 58	 3.0	 1.91	 0.66	 19	10.99	 1.07	12.05
NGC   157   	 MCG -2- 2- 56 	00 34 46.5	-08 23 48	 4.0	 1.62	 0.19	 30	11.00	 1.25	12.71
NGC  1559   	 ESO   84- 10  	04 17 37.4	-62 47 04	 6.0	 1.54	 0.24	 64	11.00	 1.20	12.06
NGC  3675   	 UGC  6439     	11 26 07.8	+43 35 06	 3.0	 1.77	 0.28	178	11.00	     	
NGC  2835   	 ESO  564- 35  	09 17 53.0	-22 21 20	 5.0	 1.82	 0.18	  8	11.01	 1.44	13.70
NGC  3631   	 UGC  6360     	11 21 02.7	+53 10 17	 5.0	 1.70	 0.02	   	11.01	     	
NGC  7213   	 ESO  288- 43  	22 09 16.9	-47 09 58	 1.0	 1.49	 0.05	   	11.01	 1.02	11.60
NGC  4429   	 UGC  7568     	12 27 26.4	+11 06 29	-1.0	 1.75	 0.34	 99	11.02	 1.08	12.03
NGC  4438   	 UGC  7574     	12 27 45.5	+13 00 36	 0.0	 1.93	 0.43	 27	11.02	 1.45	13.56
NGC  7217   	 UGC 11914     	22 07 52.2	+31 21 35	 2.0	 1.59	 0.08	 95	11.02	 1.18	12.41
WLM         	 MCG -3- 1- 15 	00 01 56.9	-15 27 01	10.0	 2.06	 0.46	  4	11.03	 1.75	15.24
NGC  2775   	 UGC  4820     	09 10 20.5	+07 02 19	 2.0	 1.63	 0.11	155	11.03	 1.07	12.05
NGC  3359   	 UGC  5873     	10 46 37.7	+63 13 22	 5.0	 1.86	 0.22	170	11.03	 1.46	13.75
NGC  4976   	 ESO  219- 29  	13 08 38.3	-49 30 17	-5.0	 1.75	 0.28	161	11.04	 1.09	12.08
NGC  2336   	 UGC  3809     	07 27 04.5	+80 10 41	 4.0	 1.85	 0.26	178	11.05	 1.60	14.44
NGC  3486   	 UGC  6079     	11 00 23.6	+28 58 33	 5.0	 1.85	 0.13	 80	11.05	 1.32	13.15
NGC  5363   	 UGC  8847     	13 56 07.1	+05 15 19	90.0	 1.61	 0.19	135	11.05	 1.08	12.28
NGC  5846   	 UGC  9706     	15 06 29.4	+01 36 25	-5.0	 1.61	 0.03	   	11.05	 1.32	13.14
NGC  3169   	 UGC  5525     	10 14 14.4	+03 28 08	 1.0	 1.64	 0.20	 45	11.08	 1.22	12.77
NGC   772   	 UGC  1466     	01 59 20.3	+19 00 22	 3.0	 1.86	 0.23	130	11.09	 1.41	13.63
NGC  2681   	 UGC  4645     	08 53 33.1	+51 18 53	 0.0	 1.56	 0.04	   	11.09	 1.10	12.07
NGC  4278   	 UGC  7386     	12 20 07.2	+29 16 47	-5.0	 1.61	 0.03	   	11.09	 1.06	11.88
Holmberg II 	 UGC  4305     	08 19 06.0	+70 42 51	10.0	 1.90	 0.10	 15	11.10	 1.69	15.04
NGC  3227   	 UGC  5620     	10 23 31.5	+19 51 48	 1.0	 1.73	 0.17	155	11.10	 1.42	13.71
NGC  4517   	 UGC  7694     	12 32 45.6	+00 06 44	 6.0	 2.02	 0.83	 83	11.10	 1.49	14.04
NGC  4654   	 UGC  7902     	12 43 56.6	+13 07 33	 6.0	 1.69	 0.24	128	11.10	 1.27	12.96
NGC  1300   	 ESO  547- 31  	03 19 40.8	-19 24 41	 4.0	 1.79	 0.18	106	11.11	 1.52	14.14
NGC   936   	 UGC  1929     	02 27 37.6	-01 09 17	-1.0	 1.67	 0.06	135	11.12	 1.15	12.36
NGC  3489   	 UGC  6082     	11 00 18.2	+13 54 08	-1.0	 1.55	 0.24	 70	11.12	 0.83	10.76
NGC  4762   	 UGC  8016     	12 52 56.3	+11 13 48	-2.0	 1.94	 0.72	 32	11.12	 1.16	12.43
NGC  5907   	 UGC  9801     	15 15 53.8	+56 19 46	 5.0	 2.10	 0.96	155	11.12	 1.61	14.58
NGC  1512   	 ESO  250-  4  	04 03 54.6	-43 21 03	 1.0	 1.95	 0.20	 90	11.13	 1.38	13.44
NGC  5322   	 UGC  8745     	13 49 15.6	+60 11 29	-5.0	 1.77	 0.18	 95	11.14	 1.05	11.88
NGC  6384   	 UGC 10891     	17 32 24.6	+07 03 38	 4.0	 1.79	 0.18	 30	11.14	 1.52	14.23
